array_len,BS_64,BS_128,BS_256,BS_512,BS_1024
100,8.8256e-06,8.4352e-06,8.3904e-06,8.1728e-06,8.2816e-06
1000,9.376e-06,9.132799999999998e-06,8.7488e-06,8.7872e-06,8.9344e-06
10000,1.88672e-05,1.6121599999999998e-05,1.53088e-05,1.46112e-05,1.49632e-05
100000,9.63072e-05,6.55296e-05,5.232640000000001e-05,4.4358400000000005e-05,4.1356800000000004e-05
1000000,0.0007699456000000001,0.0005737344,0.0004959168,0.00045235199999999994,0.0004186944000000001
10000000,0.0075537472,0.0057175808,0.0047574848000000005,0.0042231872,0.004119558400000001
